Group Pattern,Confidence,Company Code,Vendor,value,Amount Overbooked,Group Contains,Date,Group UUID,Region,Description,Payment Method,Special Intructions,reference,,,
similar special_instructions,High,3000,Acme Corportion,17281.43596,8613.119279,All Open,4/1/2025,dd1d3dd8183f13ece175a6510a820e74ed329955d22a1432f7dc8661e5ce0c1f,East,Accounting Services,Bank Transfer,Payment due within 30 days of invoice date,Inv-241,,,
similar special_instructions,High,3000,Destec Office Supplies,14477.75737,7215.500918,All Open,1/29/2025,aa61e1bb21f337e37a6281eccbab741687c7e564991bc4af0f02f4999bf98338,North,Animation and Motion Graphics,Cash,,Inv-10,,,
similar vendor,High,3000,Global Business Properties,14250.53154,7114.410041,All Cleared,1/28/2025,2fe2d39a7abda76e4ddfe8a231a280a42887a841a1494f14dd7e300397f59947,East,Audio Editing Services,PayPal,"We accept credit cards, PayPal, and bank transfers",Inv-6254,,,
similar payment_method,High,3000,AluCast,13652.82429,6826.412144,All Open,1/3/2025,a9eeaef204585c93c03e566eb01a56f5ac031ec8c6652046942959e7aa7c4274,East,Blog Post Writing,Bank Transfer,,Inv-2576,,,
similar vendor,High,3000,Manhattan Corporation,13235.88834,6604.413433,All Open,2/15/2025,177201473d296660a17f3ab1e2937d23f7f19dd5138b1a71119b496e14fabd9a,South,Bookkeeping Services,Bank Transfer,A late fee of 2% will be applied to overdue invoices,Inv-7520,,,
similar reference,High,3000,Global Business Properties,13218.69712,6604.413433,All Cleared,1/22/2025,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819,East,Brand Identity Development,PayPal,,Inv-5665,,,
similar description,High,3000,State of California,13208.82687,6604.413433,All Cleared,3/21/2025,8a8d5ae602202a32e028382502c105bb9f93b777457ca5734ef2a55402223d3f,West,Business Card Design,Bank Transfer,A 5% discount will be applied if payment is received within 10 days,Inv-4960,,,
similar reference,High,3000,Enigma,13208.82687,6604.413433,All Open,3/25/2025,9ac62da41201f3036c312a229d9af97b3fa6c9491385ba8791ea6220285d092e,West,Catering Services,Credit Card,,Inv-1560,,,
similar description,High,3000,IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/17/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065,South,Cloud Storage Services,Bank Transfer,Partial payments are not accepted,Inv-2201,,,
unique,High,3000,Pyramid Systems,13208.82687,6604.413433,All Open,1/3/2025,a6ba84e296db75afdf3654b716787eb85144093ddc3f2c4d2b50e9565af4337f,North,Community Outreach Programs,PayPal,,Inv-801,,,
unique,High,3000,WCB - Quebec,13208.82687,6604.413433,All Open,3/3/2025,f636db84a8a81db42ce6d33badf61308b14e5143f8356d030ebbda7ba57c090d,South,Computer Repair Services,Bank Transfer,,Inv-291,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,Conference Fees,PayPal,,Inv-9035,,,
unique,High,3000,Noe Food Company,10660.88191,5308.752121,All Open,2/1/2025,b829d8c945e7e3f200da8c6aff6b13c9db6f2341527be11b9811b4f98c3111eb,North,Conference Room Rental,PayPal,Returns must be made within 14 days with a receipt for a full refund,Inv-5907,,,
similar special_instructions,High,3000,Global Business Properties,2574.727759,1716.485173,All Cleared,1/11/2025,58c74386c1489a534c4749300abb1e90be2b577e275b8766e467349cde83bfcf,West,Conflict Resolution Services,Bank Transfer,,Inv-2975,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,3/30/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810,West,Consultation Fees,Cash,All products come with a one-year warranty,Inv-7253,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,2/16/2025,21dbf894460e0c4aea69dbf77f82fb8027da01b7abd156e8cf2a8daf5ab0a888,East,Content Creation Services,Cash,,Inv-7029,,,
similar value,High,3000,Global Business Properties,1800,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar special_instructions,High,3000,Meyers Real Estate AG,1800,1200,All Open,4/4/2025,339f6269bfc11f79dca65cf3df894ba57e26ab8d68e112a3f411180ef62ec39d,West,Copywriting Services,Cash,,Inv-7078,,,
similar description,High,3000,Global Business Properties,1800,1200,All Cleared,2/11/2025,38531ba18c1265e6947f48568676ffbbaeee5cd962fed9369dd21839297e2548,South,Crisis Management Services,Credit Card,Sales tax has been included in the total amount,Inv-621,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank Transfer,,Inv-7640,,,
